Publisher
20th Century Fox Video Games
3DO
505 Games
989 Studios
Acclaim Entertainment
Accolade
Activision
Activision Value
Agetec
Alchemist
Arena Entertainment
ASC Games
ASCII Entertainment
Atari
Atlus
Avanquest Software
Banpresto
Bethesda Softworks
Big Ben Interactive
Black Label Games
Capcom
ChunSoft
City Interactive
Codemasters
Coleco
Compile
Crave Entertainment
Crystal Dynamics
CTO SpA
D3Publisher
Deep Silver
Disney Interactive Studios
Eidos Interactive
Electronic Arts
Empire Interactive
Enix Corporation
Focus Home Interactive
Fox Interactive
Game Factory
Genki
Global Star
Gotham Games
GSP
GT Interactive
GungHo
Hasbro Interactive
Hello Games
Hudson Entertainment
Hudson Soft
Illusion Softworks
Imagic
Infogrames
Interplay
Jester Interactive
JVC
Koch Media
Konami Digital Entertainment
LEGO Media
Level 5
LucasArts
Majesco Entertainment
Marvelous Entertainment
Mastertronic
Maxis
Men-A-Vision
Microprose
Microsoft Game Studios
Midway Games
Mindscape
mixi, Inc
Mojang
MTV Games
Mystique
N/A
Namco Bandai Games
Natsume
NCSoft
Nintendo
Nippon Ichi Software
Nobilis
Nordic Games
Ocean
Oxygen Interactive
Palcom
Parker Bros.
Pinnacle
Play It
Psygnosis
Quelle
Quest
Rage Software
Red Orb
Red Storm Entertainment
RedOctane
Rising Star Games
RTL
Russel
Sammy Corporation
Scholastic Inc.
SCi
Sega
Slightly Mad Studios
Sony Computer Entertainment
Sony Computer Entertainment Europe
Sony Online Entertainment
SouthPeak Games
Spike
Square
Square EA
Square Enix
SquareSoft
Success
Taito
Take-Two Interactive
TalonSoft
TDK Mediactive
Tecmo Koei
THQ
Tigervision
Titus
Tomy Corporation
Touchstone
Ubisoft
Ubisoft Annecy
UEP Systems
Universal Interactive
Unknown
Valve
Valve Software
Video System
Virgin Interactive
Vivendi Games
Warner Bros. Interactive Entertainment
Westwood Studios
Zoo Digital Publishing
Zoo Games
